# F1A_VS_F1 (two zero-op saves, same session): C:\Users\BAIJUN~1\AppData\Local\Temp\drc-probe-e-_cuy5ho1/probe_e_F1a.brd vs probe_e_F1.brd
# size_a=5494892 size_b=5494892 diff_bytes=2226 ranges=1239
[144, 145]
[1027728, 1027730]
[1027732, 1027734]
[1027736, 1027738]
[1027740, 1027741]
[1027744, 1027744]
[1027748, 1027749]
[1027752, 1027753]
[1027756, 1027762]
[1027764, 1027765]
[1027768, 1027769]
[1027772, 1027773]
[1027776, 1027776]
[1027780, 1027781]
[1027784, 1027785]
[1027788, 1027789]
[1027792, 1027793]
[1027796, 1027798]
[1027800, 1027801]
[1027804, 1027805]
[1027808, 1027809]
[1027816, 1027817]
[1027828, 1027829]
[1027832, 1027832]
[1027836, 1027837]
[1027840, 1027841]
[1027852, 1027853]
[1027856, 1027858]
[1027860, 1027862]
[1027864, 1027866]
[1027868, 1027870]
[1027872, 1027877]
[1027879, 1027883]
[1027887, 1027898]
[1027900, 1027902]
[1027904, 1027906]
[1027908, 1027912]
[1027915, 1027921]
[1027923, 1027938]
[1027940, 1027942]
[1027944, 1027946]
[1027948, 1027948]
[1027952, 1027953]
[1027956, 1027957]
[1027960, 1027962]
[1027964, 1027966]
[1027968, 1027974]
[1027976, 1027981]
[1027983, 1027987]
[1027991, 1028002]
[1028004, 1028006]
[1028008, 1028010]
[1028012, 1028025]
[1028027, 1028038]
[1028040, 1028042]
[1028044, 1028046]
[1028048, 1028050]
[1028052, 1028054]
[1028056, 1028057]
[1028060, 1028061]
[1028064, 1028065]
[1028080, 1028082]
[1028084, 1028086]
[1028088, 1028090]
[1028092, 1028094]
[1028096, 1028101]
[1028104, 1028105]
[1028108, 1028108]
[1028112, 1028112]
[1028114, 1028114]
[1028116, 1028118]
[1028120, 1028130]
[1028136, 1028136]
[1028140, 1028140]
[1028144, 1028144]
[1028172, 1028172]
[1028216, 1028216]
[1028228, 1028228]
[1028236, 1028236]
[1028240, 1028240]
[1028244, 1028244]
[1028272, 1028272]
[1028316, 1028316]
[1028320, 1028320]
[1028328, 1028328]
[1028336, 1028336]
[1028340, 1028340]
[1028344, 1028344]
[1028368, 1028368]
[1028380, 1028380]
[1028388, 1028388]
[1028404, 1028404]
[1028408, 1028408]
[1028412, 1028412]
[1028448, 1028448]
[1028452, 1028452]
[1028456, 1028456]
[1028532, 1028532]
[1028604, 1028604]
[1028612, 1028612]
[1028656, 1028656]
[1028672, 1028672]
[1028708, 1028708]
[1028752, 1028752]
[1028836, 1028836]
[1028840, 1028840]
[1028844, 1028844]
[1028872, 1028872]
[1028916, 1028916]
[1028920, 1028920]
[1028936, 1028936]
[1028940, 1028940]
[1028944, 1028944]
[1028968, 1028968]
[1028988, 1028988]
[1029004, 1029004]
[1029008, 1029008]
[1029012, 1029012]
[1029088, 1029088]
[1029092, 1029092]
[1029124, 1029124]
[1029160, 1029160]
[1029164, 1029164]
[1029232, 1029232]
[1029304, 1029304]
[1029308, 1029308]
[1029376, 1029376]
[1029380, 1029380]
[1029412, 1029412]
[1029448, 1029448]
[1029452, 1029452]
[1029480, 1029480]
[1029500, 1029500]
[1029516, 1029516]
[1029520, 1029520]
[1029588, 1029588]
[1029592, 1029592]
[1029660, 1029660]
[1029664, 1029664]
[1029732, 1029732]
[1029736, 1029736]
[1029804, 1029804]
[1029808, 1029808]
[1029840, 1029840]
[1029876, 1029876]
[1029880, 1029880]
[1029948, 1029948]
[1029952, 1029952]
[1029984, 1029984]
[1030020, 1030020]
[1030092, 1030092]
[1030096, 1030096]
[1030164, 1030164]
[1030168, 1030168]
[1030236, 1030236]
[1030240, 1030240]
[1030308, 1030308]
[1030312, 1030312]
[1030380, 1030380]
[1030384, 1030384]
[1030452, 1030452]
[1030456, 1030456]
[1030524, 1030524]
[1030528, 1030528]
[1030596, 1030596]
[1030600, 1030600]
[1030668, 1030668]
[1030672, 1030672]
[1030740, 1030740]
[1030744, 1030744]
[1030812, 1030812]
[1030816, 1030816]
[1030884, 1030884]
[1030888, 1030888]
[1030956, 1030956]
[1030960, 1030960]
[1031028, 1031028]
[1031032, 1031032]
[1031100, 1031100]
[1031104, 1031104]
[1031172, 1031172]
[1031176, 1031176]
[1031244, 1031244]
[1031248, 1031248]
[1031316, 1031316]
[1031320, 1031320]
[1031388, 1031388]
[1031392, 1031392]
[1031460, 1031460]
[1031464, 1031464]
[1031532, 1031532]
[1031536, 1031536]
[1031604, 1031604]
[1031608, 1031608]
[1031676, 1031676]
[1031680, 1031680]
[1031748, 1031748]
[1031752, 1031752]
[1031820, 1031820]
[1031824, 1031824]
[1031892, 1031892]
[1031896, 1031896]
[1031964, 1031964]
[1031968, 1031968]
[1032000, 1032000]
[1032036, 1032036]
[1032040, 1032040]
[1032108, 1032108]
[1032112, 1032112]
[1032180, 1032180]
[1032184, 1032184]
[1032252, 1032252]
[1032256, 1032256]
[1032324, 1032324]
[1032328, 1032328]
[1032396, 1032396]
[1032400, 1032400]
[1032468, 1032468]
[1032472, 1032472]
[1032540, 1032540]
[1032544, 1032544]
[1032612, 1032612]
[1032616, 1032616]
[1032684, 1032684]
[1032688, 1032688]
[1032756, 1032756]
[1032760, 1032760]
[1032828, 1032828]
[1032832, 1032832]
[1032900, 1032900]
[1032904, 1032904]
[1032972, 1032972]
